,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor
4514,置信丽都玉园天俊,163.1,低,南向,2007,335.0,20539,3,2,12,内光华,绿杨路107号,20539.54629061925
1532,上品金沙,163.49,中,西北向,2015,447.0,27341,3,2,12,内金沙,上品金沙,27341.121781148693
341,上品金沙,163.49,中,西北向,2015,447.0,27341,3,2,12,内金沙,上品金沙,27341.121781148693
2523,金沙鹭岛一期,163.6,高,西南向,2010,435.0,26589,4,2,27,内金沙,金沙鹭岛一期金沙遗址路55号,26589.24205378973
352,金沙云庭,163.74,高,东北向,2012,530.0,32368,4,2,13,内金沙,金沙云庭金阳路152号,32368.388909246365
2118,天合凯旋城,163.86,高,南向,2008,450.0,27462,4,2,31,贝森,天合凯旋城瑞联路66号,27462.467960454043
3242,富力丽思国际公馆,163.0,低,南向,2012,260.0,15950,3,2,33,顺城街,顺城大街289号,15950.920245398773
3201,富力丽思国际公馆,163.0,低,南向,2012,260.0,15950,3,2,33,顺城街,顺城大街289号,15950.920245398773
4180,富力丽思国际公馆,163.0,中,东南向,2013,248.0,15214,3,2,36,顺城街,富力丽思国际公馆顺城大街289号,15214.72392638037
4643,富力丽思国际公馆,163.0,高,东南向,2016,246.0,15092,3,2,36,顺城街,富力丽思国际公馆顺城大街289号,15092.0245398773
1510,龙湖翠微清波B区,164.0,低,西南向,2015,500.0,30487,4,2,18,外金沙,金福路428号,30487.80487804878
4172,中鹏花园C区,165.0,中,南向,1998,173.5,10515,4,2,6,外光华,苏坡中路48号,10515.151515151516
3745,中鹏花园C区,165.0,中,南向,1998,173.5,10515,4,2,6,外光华,苏坡中路48号,10515.151515151516
3500,中鹏花园C区,165.0,中,南向,1998,173.5,10515,4,2,6,外光华,苏坡中路48号,10515.151515151516
4369,中鹏花园C区,165.0,中,南向,1998,173.5,10515,4,2,6,外光华,苏坡中路48号,10515.151515151516
1818,香槟花园,166.24,高,南向,2005,320.0,19249,5,2,6,内光华,瑞联路33号,19249.278152069295
1227,香槟花园,166.24,高,南向,2005,320.0,19249,5,2,6,内光华,瑞联路33号,19249.278152069295
1499,香槟花园,166.24,高,南向,2005,320.0,19249,5,2,6,内光华,瑞联路33号,19249.278152069295
4002,建发金沙里,166.58,低,西南向,2012,460.0,27614,4,2,30,内金沙,建发金沙里蜀辉路588号,27614.359466922797
4127,建发金沙里,166.58,低,西南向,2012,460.0,27614,4,2,30,内金沙,建发金沙里蜀辉路588号,27614.359466922797
783,凯德风尚,167.53,低,东向,2012,398.0,23756,4,2,18,万家湾,苏坡中路8号,23756.939055691517
2176,凯德风尚,167.53,低,东向,2012,398.0,23756,4,2,18,万家湾,苏坡中路8号,23756.939055691517
1022,金沙鹭岛三期,167.94,高,东南向,2014,440.0,26199,4,2,28,内金沙,金沙鹭岛三期蜀辉路201号,26199.83327378826
375,金沙鹭岛三期,167.97,低,南向,2015,590.0,35125,4,2,28,内金沙,蜀辉路201号,35125.31999761862
3958,金沙鹭岛三期,167.0,中,南北向,2014,480.0,28742,4,2,27,内金沙,金沙鹭岛三期蜀辉路201号,28742.51497005988
4059,时代尊城,167.0,低,南向,2007,448.0,26826,4,1,5,内光华,东坡路399号,26826.34730538922
3987,金沙鹭岛三期,167.0,中,南北向,2014,480.0,28742,4,2,27,内金沙,金沙鹭岛三期蜀辉路201号,28742.51497005988
4516,紫御熙庭,167.0,中,南北向,2018,480.0,28742,4,2,11,光华,紫御熙庭,28742.51497005988
1844,龙湖翠微清波B区,168.05,高,西南向,2015,360.0,21422,4,2,18,外金沙,金福路428号,21422.195775066943
1618,龙湖翠微清波B区,168.05,高,西南向,2015,360.0,21422,4,2,18,外金沙,金福路428号,21422.195775066943
1278,龙湖翠微清波B区,168.05,高,西南向,2015,360.0,21422,4,2,18,外金沙,金福路428号,21422.195775066943
1644,凯德风尚,168.3,高,东向,2012,500.0,29708,5,2,19,万家湾,苏坡中路8号,29708.853238265
3038,凯德风尚,168.3,高,东向,2014,478.0,28401,4,2,19,万家湾,苏坡中路8号,28401.663695781343
958,香榭名苑,168.5,高,南向,2001,318.0,18872,3,2,12,府南新区,同善桥南街9号,18872.403560830862
